Компания;Рентабельность продаж по ОП;Коэфф. абс. ликвидности;Чистая прибыль, тыс. руб;‚Выручка, тыс. руб.;Оборотные активы, тыс. руб.;Кредиторская задолженность, тыс. руб.;Уставный капитал, тыс. руб.;Прибыль от продаж, тыс. руб;Себестоимость продаж, тыс. руб;Денежные средства, тыс. руб;Дебиторская задолженность, тыс. руб;Запасы, тыс. руб.;НДС, тыс. руб.;Внеоборотные активы, тыс. руб.;Заемные средства, тыс. руб.;Долгосрочные обязательства, тыс. руб.;Капиталы и резервы, тыс. руб.;Оценочные обязательства 1540;Прочие обЯзательства 1550;
0;Газпром нефтехим Салават;0.8600;0.006;1685531.0;195497592.0;51404636.0;30284707.0;44616551.0;1071651.0;-180060421.0;157618.0;35443952.0;15416312.0;323495.0;134950389.0;15948.0;58300757.0;96859924.0;890509.0;0.0
1;Нижнекамскшина;0.0211;0.000;145966.0;6905837.0;1279365.0;2676112.0;65701.0;150713.0;-6070412.0;867.0;594483.0;678259.0;5756.0;5893476.0;1535181.0;1141214.0;1539986.0;279646.0;702.0
2;Синтез-Каучук (г. Стерлитамак);0.0419;0.017;361314.0;8629779.0;3584686.0;4181611.0;18290.0;414820.0;-7515980.0;72279.0;1594176.0;1707051.0;16749.0;2674532.0;748.0;440351.0;1579304.0;57204.0;0.0
3;Омскшина;0.0051;0.018;51880.0;10081850.0;1555751.0;1616392.0;1011.0;16116.0;-9761348.0;17639.0;1364631.0;161150.0;0.0;1387333.0;17036.0;14762.0;1223818.0;71076.0;0.0
4;Балаковорезинотехника;0.0060;0.040;30264.0;5035606.0;2112926.0;499796.0;1121.0;97801.0;-4445988.0;38239.0;635452.0;1428564.0;9349.0;2112926.0;410028.0;38447.0;2799716.0;38049.0;0.0
5;Саянскхимпласт;0.1383;0.002;2785308.0;20139860.0;8120822.0;1048922.0;1456000.0;3643763.0;-12821636.0;2408.0;6465701.0;1639044.0;10516.0;6516815.0;3001.0;302157.0;13165320.0;118237.0;0.0
6;Каустик;0.0526;0.423;1146733.0;21805092.0;7912153.0;2046405.0;2011838.0;2205499.0;-15168632.0;2000173.0;4184932.0;1634860.0;87924.0;8591084.0;2681024.0;5340221.0;6418260.0;0.0;212.0
7;Щекиноазот;0.0639;0.018;1738332.0;27224618.0;8255141.0;8623264.0;1050.0;4635385.0;-16646486.0;397307.0;3953121.0;3687738.0;80419.0;57168126.0;13705985.0;29565892.0;13299100.0;229026.0;0.0
8;Нижнекмскнефтехим;0.0301;1.375;4448026.0;147883778.0;71089197.0;22111052.0;1830240.0;20546044.0;-111731704.0;15410393.0;13889947.0;23446427.0;58160.0;191464985.0;195602.0;107507831.0;130518771.0;1893426.0;0.0
9;Уфаоргсинтез;0.1068;0.588;2427559.0;22719533.0;28091205.0;3205503.0;112933.0;-1844558.0;-22577832.0;447.0;23927173.0;2100626.0;136488.0;7680417.0;0.0;301340.0;31206684.0;30163.0;0.0
10;Куйбышевазот;0.0698;0.213;3274826.0;46905438.0;23660770.0;7600444.0;237844.0;2782285.0;-38614976.0;908265.0;12415584.0;7378326.0;31666.0;49142439.0;1763100.0;22325914.0;40814006.0;268365.0;NaN
11;Метафракс;0.1816;2.700;3671085.0;20217238.0;24095328.0;2661136.0;300120.0;6400371.0;-10514531.0;8523383.0;3903862.0;2268168.0;167776.0;76827434.0;3707687.0;43185584.0;51082618.0;107680.0;15766.0
12;Полигран;0.0430;0.267;64042.0;1490191.0;428859.0;87643.0;300000.0;89135.0;-1274746.0;26462.0;147876.0;252703.0;146.0;290184.0;5000.0;1151.0;618769.0;6480.0;0.0
13;Казаньоргсинтез;0.1371;1.075;8606719.0;62793057.0;18353183.0;6347600.0;1904710.0;11083443.0;-45674090.0;7686863.0;2585376.0;8063081.0;5898.0;54719094.0;0.0;1774742.0;64144718.0;805217.0;0.0
14;Сибур;0.0866;0.258;37123687.0;428705659.0;139944720.0;112286428.0;21784791.0;67641225.0;-311622196.0;14033624.0;44505283.0;43962254.0;24245.0;818102729.0;81434987.0;254685632.0;509265038.0;369324.0;0.0
15;Группа полипластик;0.0772;0.232;1975719.0;25587962.0;11806190.0;2758459.0;993464.0;1449736.0;-19877653.0;805346.0;6036910.0;4215934.0;53.0;12559147.0;3771043.0;1424138.0;16348541.0;63156.0;0.0
16;Владимирский химический завод;-0.0005;0.068;-1334.0;2584872.0;731513.0;270750.0;100112.0;93488.0;-2300046.0;19778.0;449776.0;254952.0;7007.0;386951.0;0.0;14221.0;376121.0;18671.0;0.0
